OrderID,Customer,Amount,Status,OrderDate
O0091,Eve,91.44,cancelled,2025-03-06
O0092,Bob,124.77,confirmed,2025-04-09
O0093,Diana,319.53,confirmed,2025-02-17
O0094,Eve,93.75,shipped,2025-04-13
O0095,Alice,422.68,shipped,2025-02-05
O0096,Alice,151.45,shipped,2025-02-18
O0097,Bob,299.09,confirmed,2025-01-24
O0098,Diana,149.91,confirmed,2025-02-25
O0099,Eve,112.21,pending,2025-03-09
O0100,Alice,116.27,pending,2025-02-24
O0101,Charlie,310.06,pending,2025-03-12
O0102,Eve,403.9,shipped,2025-01-28
O0103,Alice,226.29,cancelled,2025-04-19
O0104,Bob,446.81,shipped,2025-04-02
O0105,Diana,411.41,shipped,2025-03-24
O0106,Alice,430.96,confirmed,2025-02-01
O0107,Charlie,457.41,shipped,2025-04-12
O0108,Bob,289.74,confirmed,2025-04-07
O0109,Eve,343.62,cancelled,2025-03-24
O0110,Eve,116.19,pending,2025-02-24
O0111,Bob,134.44,cancelled,2025-02-11
O0112,Diana,315.71,cancelled,2025-02-01
O0113,Eve,413.33,confirmed,2025-03-12
O0114,Charlie,413.34,shipped,2025-02-26
O0115,Bob,489.32,confirmed,2025-03-20
O0116,Bob,460.99,confirmed,2025-03-01
O0117,Charlie,470.91,shipped,2025-02-08
O0118,Alice,155.7,cancelled,2025-01-28
O0119,Eve,454.44,cancelled,2025-03-31
O0120,Alice,91.22,confirmed,2025-03-27
O0121,Bob,445.18,shipped,2025-01-29
O0122,Alice,44.45,pending,2025-03-21
O0123,Bob,42.42,cancelled,2025-04-09
O0124,Bob,401.79,pending,2025-03-03
O0125,Eve,79.01,pending,2025-01-24
O0126,Bob,270.3,shipped,2025-02-10
O0127,Bob,60.54,cancelled,2025-01-26
O0128,Bob,21.02,shipped,2025-03-13
O0129,Alice,206.43,shipped,2025-04-21
O0130,Diana,173.48,cancelled,2025-03-20
O0131,Charlie,394.58,cancelled,2025-03-17
O0132,Bob,279.65,confirmed,2025-04-11
O0133,Bob,133.23,cancelled,2025-03-03
O0134,Eve,65.21,pending,2025-04-16
O0135,Eve,287.49,shipped,2025-02-12
O0136,Bob,319.57,cancelled,2025-04-05
O0137,Alice,94.37,pending,2025-03-18
O0138,Eve,251.09,cancelled,2025-04-16
O0139,Diana,211.09,confirmed,2025-04-04
O0140,Bob,398.64,pending,2025-02-13
O0141,Charlie,407.46,cancelled,2025-03-19
O0142,Alice,264.22,confirmed,2025-03-05
O0143,Eve,97.03,pending,2025-04-09
O0144,Charlie,370.21,pending,2025-04-04
O0145,Bob,395.32,pending,2025-02-03
O0146,Charlie,91.34,confirmed,2025-02-23
O0147,Charlie,332.06,cancelled,2025-04-02
O0148,Alice,215.11,confirmed,2025-03-18
O0149,Diana,16.57,confirmed,2025-03-09
O0150,Diana,372.21,cancelled,2025-02-02
O0151,Eve,370.51,confirmed,2025-02-19
O0152,Bob,306.33,pending,2025-02-28
O0153,Eve,194.99,pending,2025-04-14
O0154,Alice,122.97,shipped,2025-01-24
O0155,Bob,130.1,confirmed,2025-03-23
O0156,Charlie,337.21,pending,2025-03-27
O0157,Alice,256.64,confirmed,2025-02-08
O0158,Diana,193.79,cancelled,2025-04-05
O0159,Eve,194.38,confirmed,2025-02-22
O0160,Alice,426.04,pending,2025-02-03
O0161,Alice,148.14,pending,2025-03-08
O0162,Eve,251.91,confirmed,2025-04-09
O0163,Bob,328.92,confirmed,2025-03-15
O0164,Bob,446.64,shipped,2025-03-04
O0165,Alice,336.67,confirmed,2025-04-05
O0166,Charlie,327.25,cancelled,2025-03-26
O0167,Eve,91.28,shipped,2025-02-06
O0168,Eve,312.9,confirmed,2025-04-18
O0169,Alice,460.14,cancelled,2025-02-27
O0170,Eve,171.18,cancelled,2025-03-16
O0171,Diana,130.91,shipped,2025-03-10
O0172,Eve,45.62,confirmed,2025-03-03
O0173,Diana,219.54,shipped,2025-04-16
O0174,Alice,111.95,cancelled,2025-04-16
O0175,Alice,106.4,pending,2025-02-13
O0176,Eve,68.53,pending,2025-03-19
O0177,Charlie,381.24,cancelled,2025-02-03
O0178,Bob,436.07,shipped,2025-02-02
O0179,Eve,277.49,confirmed,2025-03-14
O0180,Bob,110.8,pending,2025-03-14
O0181,Eve,286.02,cancelled,2025-03-08
O0182,Charlie,127.1,pending,2025-02-24
O0183,Bob,487.56,shipped,2025-04-08
O0184,Eve,96.41,shipped,2025-02-01
O0185,Charlie,135.89,confirmed,2025-02-05
O0186,Charlie,223.88,shipped,2025-03-25
O0187,Diana,41.01,confirmed,2025-01-28
O0188,Bob,147.24,confirmed,2025-04-02
O0189,Bob,271.46,pending,2025-03-02
O0190,Eve,365.58,pending,2025-03-05
O0191,Charlie,248.76,cancelled,2025-04-15
O0192,Bob,167.33,shipped,2025-03-08
O0193,Eve,448.89,confirmed,2025-03-16
O0194,Diana,280.3,cancelled,2025-03-31
O0195,Bob,321.35,cancelled,2025-02-17
O0196,Eve,72.95,cancelled,2025-04-13
O0197,Diana,186.6,pending,2025-04-19
O0198,Alice,12.69,pending,2025-03-26
O0199,Alice,463.75,shipped,2025-03-04
O0200,Bob,439.98,cancelled,2025-02-06
